f_property_type,f_neighbourhood_cleansed,f_host_response_time,price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,d_baby_bath,d_babysitter_recommendations,d_baking_sheet,d_bathroom_essentials,d_beach_essentials,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_changing_table,d_cleaning_products,d_dining_table,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_fireplace_guards,d_game_console,d_hangers,d_high_chair,d_host_greets_you,d_hot_water,d_hot_water_kettle,d_indoor_fireplace,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_waterfront,d_have_kitchen,d_have_stove,d_have_oven,d_refrigerator,d_coffee_machine,d_bbq_equipment,d_free_parking,d_paid_parking,d_bath_tub,d_linens,d_wifi,d_streaming_services,d_tv,d_sound_system,d_shampoo_conditioner,d_body_wash,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_cooling,d_balcony,d_garden,d_have_board_game,d_clothing_storage,d_have_breakfast,d_have_cleaning_before_checkout,d_have_workspace,d_cutlary_glasses,d_have_first_aid,d_have_sauna,d_have_fitnessgym,d_family_friendly,d_have_pool,d_have_crib,d_host_is_superhost,d_host_identity_verified,d_instant_bookable,local_price,id,host_id,neighbourhood_cleansed,room_type,property_type,ln_price,d_flag_bedrooms,flag_review_scores_rating,flag_host_acceptance_rate,p_host_acceptance_rate,flag_host_response_rate,p_host_response_rate,flag_host_response_time,flag_days_since_first_review,n_days_since_first_review,flag_reviews_per_month,f_days_since_first_review,f_bathroom,f_bedroom,f_beds,f_review_score_rating,f_number_of_reviews,f_minimum_nights,ln_number_of_reviews,ln_days_since_first_review
Loft,Melbourne,1,161.88,6,1.5,1,2,4.92,314,2.37,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,228,51592,190879,Melbourne,Entire home/apt,Loft,5.086855320007665,0,0,0,99,0,100,0,0,3973,0,1,1,1,2,4.5+,3,2,5.752572638825633,8.287276755814599
Condo,Melbourne,missing,134.9,2,2,2,2,4.17,8,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,190,232812,950667,Melbourne,Entire home/apt,Condo,4.90453376321371,0,0,1,96,1,98,1,0,3728,0,3,2,2,2,0-4.5,2,2,2.1972245773362196,8.223627175805483
Loft,Port Phillip,2,213,6,1,2,4,4.76,204,1.81,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,300,438899,1777499,Port Phillip,Entire home/apt,Loft,5.3612921657094255,0,0,0,87,0,100,0,0,3385,0,3,1,2,3,4.5+,3,2,5.3230099791384085,8.127109185346375
Condo,Melbourne,1,284,4,2,2,2,4.8,0,0.85,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,400,550716,1612516,Melbourne,Entire home/apt,Condo,5.648974238161206,0,1,0,57,0,100,0,1,736.5,1,2,2,2,2,4.5+,1,4,0,6.601909235902685
Condo,Melbourne,1,177.5,4,1.5,1,3,4.59,85,0.78,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,250,754134,3570625,Melbourne,Entire home/apt,Condo,5.178970608915471,0,0,0,86,0,94,0,0,3279,0,3,1,1,3,4.5+,3,4,4.454347296253507,8.095293776844649
Condo,Melbourne,1,176.79,4,2,2,2,4.91,23,0.22,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,249,960498,5229572,Melbourne,Entire home/apt,Condo,5.174962587517932,0,0,0,85,0,100,0,0,3194,0,3,2,2,2,4.5+,2,2,3.1780538303479458,8.069029328774958
Loft,Yarra Ranges,2,128.51,2,1,1,1,4.98,59,0.86,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,181,1160839,6359961,Yarra Ranges,Entire home/apt,Loft,4.85600672231905,0,0,0,97,0,100,0,0,2065,0,3,1,1,1,4.5+,3,2,4.0943445622221,7.632885505395133
Condo,Moreland,1,85.19999999999999,2,1,1,1,4.73,148,1.44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,120,1328207,7208325,Moreland,Entire home/apt,Condo,4.44500143383527,0,0,0,83,0,100,0,0,3084,0,3,1,1,1,4.5+,3,3,5.003946305945459,8.03398273468322
Condo,Stonnington,1,115.02,4,1,2,2,4.78,138,1.59,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,162,1500598,291232,Stonnington,Entire home/apt,Condo,4.745106026285608,0,0,0,84,0,100,0,0,2602,0,3,1,2,2,4.5+,3,2,4.9344739331306915,7.86403565907245
Loft,Melbourne,1,119.99,4,1,2,2,4.84,89,0.89,2,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,169,1684869,8908084,Melbourne,Entire home/apt,Loft,4.787408405976297,1,0,0,73,0,100,0,0,2996,0,3,1,2,2,4.5+,3,2,4.499809670330265,8.005033344637111
